timestamp,ld_current,ld_temp,n2o
1592572336.3685553,15.6,25.06,25
1592572336.4807398,25.7,25.06,28
1592572336.5895147,40.1,25.07,28
1592572336.7004466,40.3,25.06,32
1592572336.8109748,40.3,25.06,27
1592572336.921693,40.3,25.06,21
1592572337.032375,40.3,25.07,15
1592572337.1425397,40.8,25.06,13
1592572337.2548132,40.8,25.06,8
1592572337.3653572,41.1,25.06,16
1592572337.4768772,40.8,25.06,18
1592572337.5868556,41.1,25.06,15
1592572337.6977024,41.3,25.06,15
1592572337.8077557,41.1,25.07,16
1592572337.9185739,41.6,25.07,19
1592572338.0289361,41.6,25.07,24
1592572338.139673,41.8,25.06,23
1592572338.2499912,41.8,25.06,25
1592572338.3604205,41.8,25.07,32
1592572338.471158,42.1,25.06,37
1592572338.5817425,42.3,25.06,34
1592572338.6923723,42.3,25.06,35
1592572338.8025985,42.3,25.07,39
1592572338.913575,42.6,25.06,41
1592572339.0237763,42.3,25.06,31
1592572339.134665,42.8,25.07,21
1592572339.2457016,42.6,25.06,24
1592572339.3558981,43.1,25.06,29
1592572339.46581,43.1,25.06,27
1592572339.575763,43.1,25.06,28
1592572339.6864839,43.6,25.06,30
1592572339.7967107,43.3,25.05,26
1592572339.9071875,43.8,25.06,14
1592572340.0179977,43.6,25.07,6
1592572340.1286716,43.8,25.07,10
1592572340.2404442,43.8,25.06,23
1592572340.3507805,44.1,25.07,31
1592572340.4611573,44.3,25.06,32
1592572340.5721316,44.3,25.06,24
1592572340.6815498,44.3,25.06,16
1592572340.7921696,44.3,25.06,12
1592572340.9028487,44.5,25.06,7
1592572341.013854,44.8,25.07,8
1592572341.1242907,44.8,25.06,11
1592572341.2346895,44.8,25.06,12
1592572341.346391,45.0,25.07,7
1592572341.457367,45.3,25.06,4
1592572341.567792,45.3,25.06,11
1592572341.6782296,45.3,25.06,28
1592572341.7888396,45.5,25.06,42
1592572341.8991446,45.5,25.06,52
1592572342.0098798,45.3,25.06,58
1592572342.1210504,45.8,25.06,66
1592572342.231511,46.0,25.06,71
1592572342.3421311,45.8,25.06,69
1592572342.4532595,46.0,25.05,76
1592572342.5626929,46.0,25.07,77
1592572342.672523,46.3,25.06,74
1592572342.7831216,46.5,25.06,83
1592572342.8934271,46.5,25.07,90
