timestamp,ld_current,ld_temp,n2o
1592826796.5637028,15.8,25.05,0
1592826796.676581,24.2,25.05,0
1592826796.7865608,40.1,25.05,12
1592826796.8980484,40.3,25.06,13
1592826797.0099878,40.3,25.05,16
1592826797.1258864,40.3,25.05,14
1592826797.241548,40.3,25.06,8
1592826797.3544312,40.8,25.05,16
1592826797.470978,40.8,25.05,18
1592826797.5818112,41.1,25.06,14
1592826797.695321,41.1,25.06,9
1592826797.8090343,41.1,25.05,4
1592826797.9255986,41.1,25.05,5
1592826798.0367126,41.3,25.05,10
1592826798.1464796,41.6,25.05,12
1592826798.257316,41.6,25.05,14
1592826798.3679192,41.6,25.06,26
1592826798.4785366,41.8,25.05,42
1592826798.593268,42.1,25.05,55
1592826798.7047153,42.1,25.05,71
1592826798.8137648,41.8,25.05,82
1592826798.9250348,42.3,25.06,82
1592826799.0357785,42.3,25.06,73
1592826799.1463675,42.3,25.06,76
1592826799.256751,42.6,25.05,74
1592826799.3672204,42.8,25.05,69
1592826799.4779112,42.8,25.06,70
1592826799.588518,42.8,25.05,63
1592826799.6991324,42.8,25.05,58
1592826799.8096714,43.1,25.05,62
1592826799.9202642,43.1,25.05,47
1592826800.0308628,43.6,25.05,36
1592826800.141545,43.3,25.05,33
1592826800.252153,43.8,25.05,35
1592826800.362753,43.8,25.06,38
1592826800.4733646,43.8,25.05,40
1592826800.5839665,44.3,25.05,44
1592826800.6945045,44.3,25.05,42
1592826800.8052378,44.3,25.05,36
1592826800.9155622,44.3,25.06,39
1592826801.026155,44.8,25.05,42
1592826801.1367755,44.5,25.06,44
1592826801.2473993,44.5,25.05,38
1592826801.3580081,44.1,25.06,30
1592826801.4685705,44.8,25.06,29
1592826801.5791578,45.0,25.06,31
1592826801.6897328,45.0,25.05,25
1592826801.8002834,45.3,25.05,15
1592826801.9109244,45.3,25.05,14
1592826802.0216138,45.5,25.06,20
1592826802.1322126,45.5,25.05,23
1592826802.2428524,45.5,25.06,24
1592826802.3534386,45.5,25.05,26
1592826802.4639223,45.8,25.06,31
1592826802.5745254,46.0,25.05,29
1592826802.6850495,46.0,25.06,33
1592826802.7957444,46.3,25.05,39
1592826802.9063227,46.3,25.05,43
1592826803.0168252,46.3,25.05,40
1592826803.1274512,46.3,25.05,38
1592826803.237928,46.5,25.05,38
1592826803.3487,46.5,25.05,36
1592826803.4591508,46.8,25.07,40
1592826803.5697274,46.8,25.05,40
1592826803.680354,46.8,25.05,34
1592826803.7909954,47.3,25.05,23
1592826803.9015226,47.5,25.06,18
1592826804.0121455,47.5,25.04,17
1592826804.126206,47.5,25.05,21
1592826804.2404888,47.5,25.06,20
1592826804.352983,47.8,25.05,21
1592826804.4608305,47.5,25.05,22
