timestamp,ld_current,ld_temp,n2o
1592826726.2807019,15.8,25.05,15
1592826726.3925107,28.7,25.06,25
1592826726.5013297,40.1,25.06,28
1592826726.6120338,40.6,25.06,27
1592826726.7227733,40.6,25.06,23
1592826726.833066,40.6,25.06,27
1592826726.9437025,40.8,25.05,28
1592826727.0556903,40.6,25.06,33
1592826727.166018,40.8,25.06,24
1592826727.2759495,40.8,25.06,20
1592826727.386087,41.1,25.05,21
1592826727.496673,41.1,25.05,21
1592826727.6073723,41.3,25.06,23
1592826727.7181249,41.6,25.05,27
1592826727.8281906,41.3,25.05,21
1592826727.9399502,41.6,25.05,23
1592826728.0514717,41.6,25.05,27
1592826728.1617532,41.8,25.06,30
1592826728.270724,41.8,25.06,42
1592826728.3813024,42.1,25.06,44
1592826728.4918766,42.1,25.04,36
1592826728.6024978,42.1,25.06,32
1592826728.7134252,42.3,25.06,29
1592826728.8243232,42.3,25.06,32
1592826728.9361153,42.3,25.06,26
1592826729.0460663,42.6,25.05,13
1592826729.15671,42.8,25.06,3
1592826729.2671282,42.8,25.06,5
1592826729.3782234,42.8,25.05,2
1592826729.4888513,43.3,25.06,1
1592826729.5995152,43.1,25.05,7
1592826729.7089725,43.6,25.05,13
1592826729.819058,43.6,25.05,12
1592826729.9300914,43.6,25.05,10
1592826730.0401776,43.8,25.05,7
1592826730.151002,44.1,25.06,10
1592826730.2620225,44.1,25.05,16
1592826730.3730567,44.1,25.05,11
1592826730.4845693,44.3,25.05,9
1592826730.5951862,44.1,25.05,5
1592826730.705429,44.3,25.05,3
1592826730.8155923,44.3,25.05,1
1592826730.9266946,44.8,25.05,0
1592826731.0371156,44.5,25.05,1
1592826731.1481948,44.8,25.06,8
1592826731.2580214,45.0,25.05,19
1592826731.371588,44.8,25.06,27
1592826731.4856246,45.0,25.06,29
1592826731.5928054,45.3,25.05,30
1592826731.7033079,45.3,25.05,39
1592826731.813664,45.3,25.06,39
1592826731.9243052,45.5,25.06,36
1592826732.0370665,45.5,25.05,26
1592826732.145691,46.0,25.06,23
1592826732.256976,45.8,25.05,27
1592826732.3682623,46.0,25.06,34
1592826732.477365,46.0,25.05,34
1592826732.5879633,46.0,25.06,24
1592826732.6984591,46.3,25.05,16
1592826732.8101263,46.3,25.06,16
1592826732.9197366,46.5,25.05,17
1592826733.0340915,46.5,25.05,14
1592826733.150478,46.8,25.05,9
1592826733.267029,46.8,25.06,21
1592826733.3769634,46.8,25.05,28
1592826733.4849224,46.3,25.06,29
1592826733.5967722,47.3,25.05,35
1592826733.7066112,47.3,25.06,34
1592826733.8166144,47.5,25.05,24
1592826733.927087,47.5,25.06,23
1592826734.0386376,47.5,25.06,16
1592826734.1500483,47.8,25.06,18
1592826734.2649548,47.8,25.05,18
1592826734.3773832,47.8,25.05,30
1592826734.4863944,48.0,25.05,35
1592826734.5971143,48.3,25.05,45
1592826734.707276,48.3,25.05,44
1592826734.8183792,48.5,25.05,31
1592826734.9286416,48.8,25.06,25
1592826735.0398548,48.8,25.05,16
1592826735.153711,48.8,25.04,15
1592826735.26713,48.8,25.06,32
1592826735.3797445,49.0,25.06,37
1592826735.4929202,49.3,25.06,47
1592826735.60734,49.5,25.05,54
1592826735.7224383,49.5,25.06,57
1592826735.833485,49.8,25.06,55
1592826735.943615,49.8,25.05,49
1592826736.0546389,49.5,25.05,49
1592826736.1648374,49.5,25.06,53
1592826736.2759945,50.0,25.05,63
1592826736.3866704,50.0,25.06,63
1592826736.496955,50.0,25.06,66
1592826736.6070642,50.0,25.05,72
1592826736.7183113,50.2,25.06,69
1592826736.8298128,50.5,25.05,65
1592826736.9441688,50.7,25.05,67
1592826737.0534878,50.5,25.04,59
1592826737.1640449,50.7,25.05,52
1592826737.275814,50.7,25.05,55
1592826737.3853412,50.7,25.05,57
1592826737.4960003,51.2,25.06,63
1592826737.6065009,51.2,25.05,75
1592826737.7171915,51.5,25.05,81
1592826737.8354442,51.5,25.06,68
1592826737.9468462,51.7,25.06,50
1592826738.0579484,51.7,25.05,36
1592826738.168282,51.7,25.06,20
1592826738.2789836,51.7,25.06,19
1592826738.3893306,52.0,25.05,15
1592826738.5005276,52.2,25.06,13
1592826738.610976,52.2,25.05,13
1592826738.7214558,52.2,25.05,8
1592826738.8317106,52.5,25.05,10
1592826738.9434035,52.5,25.06,8
1592826739.0531976,52.7,25.06,9
1592826739.1637447,52.5,25.05,17
1592826739.2741632,53.0,25.06,25
1592826739.3854568,53.0,25.06,24
1592826739.49529,53.2,25.05,38
1592826739.6043856,53.2,25.06,53
1592826739.7149851,53.2,25.05,53
1592826739.8257673,53.5,25.06,59
1592826739.9361746,53.7,25.06,73
1592826740.0468547,53.7,25.06,78
1592826740.1574304,53.7,25.06,71
1592826740.2701082,54.0,25.06,66
1592826740.380305,54.0,25.06,62
1592826740.4903653,54.0,25.06,71
1592826740.600321,54.0,25.06,81
1592826740.7102842,54.5,25.05,85
1592826740.821032,54.5,25.05,81
1592826740.9317396,54.7,25.06,77
1592826741.0438097,54.5,25.05,68
1592826741.1525156,54.5,25.05,54
1592826741.2635796,55.0,25.05,45
1592826741.377791,55.2,25.06,43
1592826741.4936748,55.2,25.06,47
1592826741.6067834,55.0,25.05,47
1592826741.7176661,55.2,25.05,36
1592826741.8332787,55.4,25.06,25
1592826741.9470284,55.7,25.06,18
1592826742.061181,55.7,25.06,12
1592826742.169723,55.7,25.06,13
1592826742.2842536,55.9,25.05,23
1592826742.3994544,55.9,25.06,31
1592826742.513963,56.2,25.06,36
1592826742.6263645,56.2,25.05,49
1592826742.7364328,56.2,25.06,64
1592826742.8469799,56.4,25.06,67
1592826742.9574597,56.7,25.06,56
1592826743.0680714,56.7,25.06,45
1592826743.1864867,56.9,25.06,44
1592826743.2967494,56.9,25.07,47
1592826743.4113278,56.9,25.06,53
1592826743.5319903,57.2,25.07,53
1592826743.6394527,57.2,25.06,61
1592826743.7497408,57.2,25.05,71
1592826743.8602068,57.2,25.05,64
1592826743.9712057,57.4,25.06,39
1592826744.0814178,57.4,25.06,25
1592826744.192191,57.9,25.06,12
1592826744.303951,57.9,25.06,0
1592826744.413877,58.2,25.06,6
1592826744.5236306,58.2,25.06,20
1592826744.6341417,58.2,25.05,35
1592826744.745142,58.2,25.06,36
1592826744.855759,58.7,25.06,35
1592826744.966609,58.7,25.06,43
1592826745.0775356,58.7,25.06,50
1592826745.1879747,58.9,25.07,45
1592826745.2978663,58.9,25.06,42
1592826745.4083893,58.9,25.06,45
1592826745.518997,59.2,25.07,49
1592826745.6297615,59.2,25.05,57
1592826745.740237,59.4,25.06,68
1592826745.851651,59.4,25.06,71
1592826745.964043,59.9,25.06,67
1592826746.0719924,59.7,25.06,71
1592826746.1827161,59.7,25.06,69
1592826746.2933507,59.9,25.06,66
1592826746.4039986,59.9,25.06,60
1592826746.514373,60.4,25.06,47
1592826746.6250534,60.2,25.05,38
1592826746.7370732,60.4,25.05,22
1592826746.847045,60.4,25.06,18
1592826746.957139,60.4,25.06,15
1592826747.0676556,60.9,25.06,6
1592826747.1781585,60.7,25.07,14
1592826747.2887702,60.9,25.06,26
1592826747.3991024,60.9,25.06,30
1592826747.510801,61.1,25.06,29
1592826747.622634,61.4,25.06,31
1592826747.7325394,61.4,25.06,32
1592826747.8435264,61.4,25.06,35
1592826747.9536817,61.6,25.06,34
1592826748.064332,61.6,25.05,31
1592826748.1749732,61.6,25.07,26
1592826748.2857637,62.1,25.06,19
1592826748.396002,62.1,25.07,21
1592826748.5065303,62.1,25.07,23
1592826748.6169603,62.1,25.06,25
1592826748.726849,62.1,25.06,23
1592826748.8383691,62.6,25.06,18
1592826748.9472806,62.4,25.06,12
1592826749.0578177,62.9,25.06,7
1592826749.1685352,62.9,25.06,6
1592826749.2793758,62.9,25.08,9
1592826749.3912742,63.4,25.07,11
1592826749.5014126,63.1,25.06,13
1592826749.6109936,63.4,25.06,13
1592826749.7222133,63.6,25.05,11
1592826749.8323393,63.6,25.06,10
1592826749.9426088,64.1,25.06,12
1592826750.0546987,63.6,25.06,13
1592826750.1649756,63.9,25.06,22
1592826750.2787106,63.6,25.07,23
1592826750.392569,63.9,25.06,21
1592826750.504247,64.1,25.07,17
1592826750.619748,64.4,25.05,16
1592826750.7321112,64.1,25.06,5
1592826750.8418703,64.6,25.06,4
1592826750.9520798,64.6,25.06,6
1592826751.0650227,64.6,25.05,21
1592826751.1796803,64.9,25.06,23
1592826751.292632,64.9,25.06,19
1592826751.402781,65.1,25.06,12
1592826751.5134482,65.4,25.07,8
1592826751.6239974,65.6,25.05,14
1592826751.734585,65.6,25.05,24
1592826751.8451765,65.6,25.07,30
1592826751.961029,65.6,25.06,34
1592826752.07052,65.4,25.06,27
1592826752.1813276,65.9,25.05,16
1592826752.2917974,65.9,25.06,9
1592826752.4021888,66.1,25.06,3
1592826752.5127544,66.1,25.06,1
1592826752.6235852,66.1,25.06,17
1592826752.7406538,66.1,25.07,28
1592826752.8513117,66.4,25.06,29
1592826752.9618227,66.6,25.06,35
1592826753.0735753,66.6,25.06,38
1592826753.1849558,66.6,25.06,37
1592826753.2952995,66.8,25.06,29
1592826753.4076045,67.1,25.06,27
1592826753.5194883,67.1,25.06,30
1592826753.6340792,67.1,25.06,28
1592826753.7500467,67.3,25.07,22
1592826753.8599486,67.6,25.07,19
1592826753.9706142,67.6,25.07,21
1592826754.082284,67.6,25.06,20
1592826754.1928039,68.1,25.06,35
1592826754.3038905,68.1,25.06,33
1592826754.4131782,68.1,25.07,23
1592826754.5224743,68.1,25.05,23
1592826754.632988,68.3,25.06,27
1592826754.7437403,68.3,25.06,33
1592826754.8546178,68.6,25.06,37
1592826754.9660857,68.6,25.06,41
